customerID,SeniorCitizen,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,gender_Male,Partner_Yes,Dependents_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
4906-ZHGPK,0,1.0853788904988193,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Yes,0.09569199931207793,0.7786325263136197,No,True,True,True,True,False,False,True,False
7439-DKZTW,0,-1.1214617749089537,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,0.4375328496039476,-0.9025667940951383,No,True,False,False,False,False,False,True,False
2592-HODOV,0,-0.6217997374581372,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.6881272600789998,-0.8209549553969017,No,True,False,False,True,False,True,False,False
7826-VVKWT,1,-0.16377620312822208,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,0.9928073272354114,0.09213160174171481,No,False,True,True,False,True,False,True,False
1658-TJVOA,1,-0.9132692593044469,Yes,No,Fiber optic,Yes,No,No,No,No,No,Yes,0.2136878258087637,-0.7338066351789356,No,False,False,False,False,False,False,True,False
2439-LYPMQ,1,0.41916284056439723,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,1.2027704890898085,0.8876305822411359,No,True,True,False,False,False,False,True,False
7596-LDUXP,0,-0.6634382405790387,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Yes,0.5971742619229937,-0.49314056812994855,No,False,False,False,True,False,True,False,False
4524-QCSSM,0,-0.08049919688641934,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Yes,-0.8083642595816493,-0.41225781341784934,No,True,False,False,False,False,False,False,False
7816-VGHTO,0,-0.9132692593044469,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,No,-0.9506533444747118,-0.8401617616567044,No,False,True,True,False,True,False,False,True
9074-KGVOX,0,0.9188248780152137,No,No phone service,DSL,Yes,No,No,No,Yes,No,Yes,-0.9888284648118748,-0.018187918910675147,No,True,True,True,False,False,True,False,False
5360-XGYAZ,0,1.834871946675044,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-0.07956650769035273,1.1862360423134664,No,True,True,True,False,True,False,False,False
9778-OGKQZ,0,1.834871946675044,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.8349011476589641,2.1512014818406606,No,True,True,False,False,True,True,False,False
4139-JPIAM,0,0.9604633811361152,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Yes,-0.8153051905520424,0.05481161520131539,No,True,False,False,False,False,True,False,False
3727-JEZTU,0,-1.1214617749089537,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.6499521397418366,-0.9299757951989848,No,False,False,False,False,False,False,False,True
3882-IYOIJ,0,1.3352099092242276,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No,1.6417843729671848,2.1404019252960023,No,False,True,True,False,True,True,False,False
4335-UPJSI,0,-0.16377620312822208,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.6725101653956147,-0.7122986575878874,No,False,False,True,False,True,False,False,True
4102-HLENU,0,1.6266794310705373,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,No,-0.07956650769035273,1.0305538273986006,No,False,True,False,False,True,False,False,True
7718-UPSKJ,0,1.70995643731234,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,1.3346481775272816,2.3652559833956386,No,False,True,False,True,False,True,False,False
3768-VHXQO,0,1.6266794310705373,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.4955164256505855,-0.21770630849204214,No,True,True,False,False,True,True,False,False
4833-QTJNO,1,1.6266794310705373,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,No,0.5520582106154369,1.607418747555119,No,True,True,False,False,False,False,False,False
0141-YEAYS,1,-0.03886069376551795,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Yes,0.6422903132305501,0.154832824549517,No,False,False,False,False,False,False,False,False
9822-WMWVG,0,0.5440783499271014,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Yes,1.338118643012478,1.0121216728740683,No,False,False,False,False,False,False,True,False
3612-YUNGG,0,1.5017639217078331,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,1.4318212111127877,2.1325187046958938,No,True,True,True,False,True,True,False,False
9443-JUBUO,0,1.834871946675044,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-0.09344836963113952,1.1016395160469807,No,True,True,True,False,True,True,False,False
6953-PBDIN,0,1.7515949404332414,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,No,0.17377747272900254,1.4601209984808312,No,True,True,False,False,True,False,False,False
2176-LVPNX,1,1.7932334435541428,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,0.7602861397272359,1.9285118918248692,No,False,False,False,False,True,False,False,True
9505-SQFSW,0,-1.038184768667151,No,No phone service,DSL,No,Yes,No,No,No,Yes,No,-0.9593295081877035,-0.8971214480736758,No,False,True,True,False,False,False,False,True
1705-GUHPV,0,1.4601254185869317,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.5180744513043638,-0.20189429954269092,No,False,False,False,False,True,False,False,True
7978-DKUQH,0,-0.12213770000732072,Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes,0.23104015323474694,-0.12007740597335335,No,False,True,False,False,False,False,True,False
